,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-09-10),近12月累積營收年增率連2個月增加(2022-09-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('1560中砂', 9)",4506崇友,4506崇友,4506崇友,2360致茂,4506崇友,2317鴻海,2317鴻海,1102亞泥,6443元晶,1537廣隆,2607榮運,,6146耕興,4506崇友,1515力山,1773勝一,1301台塑,6239力成,6116彩晶,
1,"('8069元太', 9)",6146耕興,6146耕興,1308亞聚,9908大台北,2103台橡,2412中華電,2308台達電,1312國喬,8462柏文,9802鈺齊-KY,9925新保,,3049和鑫,2103台橡,2303聯電,1907永豐餘,1303南亞,2015豐興,,
2,"('2395研華', 9)",6669緯穎,2455全新,6146耕興,3380明泰,1308亞聚,2308台達電,2303聯電,1315達新,1519華城,9910豐泰,2395研華,,2360致茂,1308亞聚,3691碩禾,2006東和鋼鐵,1326台化,,,
3,"('3443創意', 9)",2455全新,2360致茂,1723中碳,2884玉山金,6146耕興,2303聯電,3008大立光,1326台化,2367燿華,3035智原,2330台積電,,6121新普,6146耕興,6582申豐,2104國際中橡,1216統一,,,
4,"('5274信驊', 9)",2313華通,3014聯陽,6669緯穎,1227佳格,2049上銀,3008大立光,1216統一,1402遠東新,2618長榮航,1476儒鴻,1419新紡,,2328廣宇,2049上銀,2108南帝,2105正新,2207和泰車,,,
5,"('6472保瑞', 8)",2360致茂,2337旺宏,3049和鑫,3680家登,1723中碳,1216統一,2891中信金,1504東元,2539櫻花建,2330台積電,2303聯電,,1537廣隆,1723中碳,3006晶豪科,2106建大,2912統一超,,,
6,"('2360致茂', 8)",3014聯陽,5871中租-KY,2455全新,2231為升,3049和鑫,3711日月光投控,3711日月光投控,1589永冠-KY,2388威盛,8404百和興業-KY,2498宏達電,,1477聚陽,6669緯穎,8086宏捷科,2206三陽工業,2892第一金,,,
7,"('3529力旺', 8)",6121新普,2923鼎固-KY,6177達麗,2912統一超,2455全新,2382廣達,2382廣達,1802台玻,6451訊芯-KY,5274信驊,8046南電,,3231緯創,1515力山,6285啟碁,2340光磊,2408南亞科,,,
8,"('2308台達電', 8)",6269台郡,3680家登,2313華通,3218大學光,6177達麗,6488環球晶,6488環球晶,1907永豐餘,6576逸達,9938百和,6472保瑞,,1314中石化,3049和鑫,3707漢磊,2352佳世達,2880華南金,,,
9,"('6643M31', 8)",5871中租-KY,5289宜鼎,1434福懋,1229聯華,2313華通,2912統一超,2912統一超,1909榮成,4743合一,6670復盛應用,5347世界,,6223旺矽,2455全新,8069元太,2379瑞昱,4904遠傳,,,
