,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
110,,,,,,,,,,,,,,,,1232大統益,1598岱宇
111,,,,,,,,,,,,,,,,3019亞光,2515中工
112,,,,,,,,,,,,,,,,2373震旦行,4935茂林-KY
113,,,,,,,,,,,,,,,,6548長科*,9925新保
114,,,,,,,,,,,,,,,,2428興勤,4536拓凱
115,,,,,,,,,,,,,,,,6491晶碩,3708上緯投控
116,,,,,,,,,,,,,,,,2362藍天,2913農林
117,,,,,,,,,,,,,,,,6153嘉聯益,6504南六
118,,,,,,,,,,,,,,,,1795美時,2908特力
119,,,,,,,,,,,,,,,,3596智易,2421建準
120,,,,,,,,,,,,,,,,5388中磊,4919新唐
121,,,,,,,,,,,,,,,,8070長華*,1218泰山
122,,,,,,,,,,,,,,,,3545敦泰,1515力山
123,,,,,,,,,,,,,,,,8016矽創,1234黑松
124,,,,,,,,,,,,,,,,3324雙鴻,6191精成科
125,,,,,,,,,,,,,,,,3264欣銓,2387精元
126,,,,,,,,,,,,,,,,4551智伸科,3211順達
127,,,,,,,,,,,,,,,,3026禾伸堂,3707漢磊
128,,,,,,,,,,,,,,,,6230超眾,2850新產
129,,,,,,,,,,,,,,,,3312弘憶股,8163達方
130,,,,,,,,,,,,,,,,2312金寶,2031新光鋼
131,,,,,,,,,,,,,,,,1710東聯,1609大亞
132,,,,,,,,,,,,,,,,3010華立,8213志超
133,,,,,,,,,,,,,,,,4961天鈺,3228金麗科
134,,,,,,,,,,,,,,,,3006晶豪科,2478大毅
135,,,,,,,,,,,,,,,,3703欣陸,2375凱美
136,,,,,,,,,,,,,,,,2481強茂,3131弘塑
137,,,,,,,,,,,,,,,,2393億光,6173信昌電
138,,,,,,,,,,,,,,,,3704合勤控,3014聯陽
139,,,,,,,,,,,,,,,,4157太景*-KY,4576大銀微系統
140,,,,,,,,,,,,,,,,6582申豐,5471松翰
141,,,,,,,,,,,,,,,,3552同致,6472保瑞
142,,,,,,,,,,,,,,,,1598岱宇,6706惠特
143,,,,,,,,,,,,,,,,5425台半,4906正文
144,,,,,,,,,,,,,,,,2515中工,1582信錦
145,,,,,,,,,,,,,,,,4935茂林-KY,3078僑威
146,,,,,,,,,,,,,,,,1103嘉泥,2401凌陽
147,,,,,,,,,,,,,,,,2351順德,3450聯鈞
148,,,,,,,,,,,,,,,,4536拓凱,1256鮮活果汁-KY
149,,,,,,,,,,,,,,,,2913農林,3022威強電
150,,,,,,,,,,,,,,,,1305華夏,3217優群
151,,,,,,,,,,,,,,,,2908特力,8210勤誠
152,,,,,,,,,,,,,,,,1702南僑,2489瑞軒
153,,,,,,,,,,,,,,,,2421建準,1614三洋電
154,,,,,,,,,,,,,,,,4919新唐,2340光磊
155,,,,,,,,,,,,,,,,1218泰山,2417圓剛
156,,,,,,,,,,,,,,,,1515力山,6284佳邦
157,,,,,,,,,,,,,,,,2851中再保,1560中砂
158,,,,,,,,,,,,,,,,8358金居,3090日電貿
159,,,,,,,,,,,,,,,,4927泰鼎-KY,5287數字
160,,,,,,,,,,,,,,,,8112至上,5508永信建
161,,,,,,,,,,,,,,,,6191精成科,1589永冠-KY
162,,,,,,,,,,,,,,,,1309台達化,
163,,,,,,,,,,,,,,,,3211順達,
164,,,,,,,,,,,,,,,,3707漢磊,
165,,,,,,,,,,,,,,,,2850新產,
166,,,,,,,,,,,,,,,,8163達方,
167,,,,,,,,,,,,,,,,1609大亞,
168,,,,,,,,,,,,,,,,8213志超,
169,,,,,,,,,,,,,,,,1532勤美,
170,,,,,,,,,,,,,,,,2478大毅,
171,,,,,,,,,,,,,,,,2375凱美,
172,,,,,,,,,,,,,,,,6279胡連,
173,,,,,,,,,,,,,,,,3014聯陽,
174,,,,,,,,,,,,,,,,2363矽統,
175,,,,,,,,,,,,,,,,5471松翰,
176,,,,,,,,,,,,,,,,6472保瑞,
177,,,,,,,,,,,,,,,,4906正文,
178,,,,,,,,,,,,,,,,1582信錦,
179,,,,,,,,,,,,,,,,3078僑威,
180,,,,,,,,,,,,,,,,6643M31,
181,,,,,,,,,,,,,,,,2401凌陽,
182,,,,,,,,,,,,,,,,3450聯鈞,
183,,,,,,,,,,,,,,,,1110東泥,
184,,,,,,,,,,,,,,,,3022威強電,
185,,,,,,,,,,,,,,,,5243乙盛-KY,
186,,,,,,,,,,,,,,,,3217優群,
187,,,,,,,,,,,,,,,,2727王品,
188,,,,,,,,,,,,,,,,6223旺矽,
189,,,,,,,,,,,,,,,,3059華晶科,
190,,,,,,,,,,,,,,,,2340光磊,
191,,,,,,,,,,,,,,,,3630新鉅科,
192,,,,,,,,,,,,,,,,6120達運,
193,,,,,,,,,,,,,,,,6284佳邦,
194,,,,,,,,,,,,,,,,1560中砂,
195,,,,,,,,,,,,,,,,3090日電貿,
196,,,,,,,,,,,,,,,,5287數字,
197,,,,,,,,,,,,,,,,1589永冠-KY,
