,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2023-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2023-12-31),連續三年EPS均大於0且近一季EPS也大於0(2023-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2023-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2023-12-31),近6月累積營收年增率連2個月增加(2023-06-10),近12月累積營收年增率連2個月增加(2023-06-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2023-12-31),ROE連續三季成長，且近一季ROE>10%(2023-12-31),毛利率連續三季成長，且近一季毛利率>25%(2023-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5269祥碩', 7)",2377微星,2539櫻花建,2615萬海,2912統一超,2539櫻花建,2882國泰金,2886兆豐金,,6533晶心科,2377微星,2498宏達電,,,,,,,,,
1,"('8081致新', 7)",3680家登,8404百和興業-KY,3665貿聯-KY,,5508永信建,2886兆豐金,2207和泰車,,1515力山,8081致新,1903士紙,,,,,,,,,
2,"('6472保瑞', 6)",5274信驊,5508永信建,2539櫻花建,,1903士紙,2207和泰車,2884玉山金,,2923鼎固-KY,5269祥碩,8081致新,,,,,,,,,
3,"('6732昇佳電子', 6)",8081致新,2498宏達電,1110東泥,,1104環泥,2884玉山金,6488環球晶,,6120達運,2915潤泰全,2417圓剛,,,,,,,,,
4,"('1476儒鴻', 6)",6548長科*,6533晶心科,5508永信建,,9925新保,5880合庫金,5880合庫金,,6446藥華藥,2458義隆,6492生華科,,,,,,,,,
5,"('8016矽創', 6)",2404漢唐,1903士紙,1582信錦,,3680家登,2885元大金,1101台泥,,1802台玻,1476儒鴻,6451訊芯-KY,,,,,,,,,
6,"('2458義隆', 6)",2313華通,5903全家,1409新纖,,5274信驊,3034聯詠,2885元大金,,4142國光生,1215卜蜂,4766南寶,,,,,,,,,
7,"('3014聯陽', 6)",9911櫻花,9925新保,3515華擎,,8081致新,4938和碩,2633台灣高鐵,,1808潤隆,2428興勤,2458義隆,,,,,,,,,
8,"('3563牧德', 6)",1707葡萄王,3680家登,1307三芳,,6548長科*,3105穩懋,5269祥碩,,9938百和,6732昇佳電子,2340光磊,,,,,,,,,
9,"('3661世芯-KY', 6)",3017奇鋐,5274信驊,2377微星,,2923鼎固-KY,2409友達,2227裕日車,,4958臻鼎-KY,2634漢翔,4961天鈺,,,,,,,,,
