,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-07-10),近12月累積營收年增率連2個月增加(2022-07-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2330台積電', 11)",2227裕日車,2913農林,6005群益證,2227裕日車,2227裕日車,2330台積電,2330台積電,2409友達,6589台康生技,3035智原,3189景碩,2913農林,6005群益證,6005群益證,5347世界,1101台泥,3105穩懋,2412中華電,6488環球晶,
1,"('4904遠傳', 10)",5306桂盟,6166凌華,2227裕日車,1614三洋電,5306桂盟,2317鴻海,2412中華電,2474可成,2618長榮航,9933中鼎,2395研華,2227裕日車,3189景碩,2913農林,2388威盛,1711永光,2337旺宏,4904遠傳,5904寶雅,
2,"('6643M31', 10)",9910豐泰,5306桂盟,6166凌華,2395研華,2542興富發,2308台達電,2303聯電,2511太子,3576聯合再生,6223旺矽,5347世界,6166凌華,9910豐泰,6166凌華,3680家登,1907永豐餘,3293鈊象,2227裕日車,3661世芯-KY,
3,"('6223旺矽', 9)",9937全國,2542興富發,5306桂盟,1722台肥,3189景碩,2303聯電,3008大立光,2881富邦金,4438廣越,2201裕隆,2520冠德,5306桂盟,1101台泥,2501國建,2009第一銅,2006東和鋼鐵,8086宏捷科,1227佳格,6533晶心科,
4,"('2412中華電', 9)",2707晶華,2707晶華,2542興富發,4576大銀微系統,2478大毅,3008大立光,1216統一,2913農林,2610華航,1560中砂,2344華邦電,2478大毅,1722台肥,5306桂盟,6582申豐,2009第一銅,3081聯亞,5522遠雄,,
5,"('1560中砂', 9)",2395研華,6589台康生技,2478大毅,8917欣泰,2707晶華,3711日月光投控,2891中信金,3231緯創,6177達麗,3037欣興,6472保瑞,2035唐榮,2504國產,2542興富發,2108南帝,2105正新,2455全新,2247汎德永業,,
6,"('5347世界', 9)",4927泰鼎-KY,2395研華,9910豐泰,2634漢翔,2395研華,2912統一超,3711日月光投控,3673TPK-KY,,2449京元電子,2498宏達電,6589台康生技,4906正文,3189景碩,2615萬海,2106建大,2332友訊,9930中聯資源,,
7,"('3035智原', 9)",6278台表科,6180橘子,9937全國,5243乙盛-KY,6180橘子,2892第一金,2892第一金,4157太景*-KY,,2454聯發科,5530龍巖,1614三洋電,6269台郡,2478大毅,3006晶豪科,2324仁寶,3380明泰,4167松瑞藥,,
8,"('5274信驊', 9)",6180橘子,9938百和,2707晶華,6409旭隼,6202盛群,2379瑞昱,2880華南金,5371中光電,,3707漢磊,5534長虹,2010春源,3005神基,2035唐榮,3017奇鋐,2330台積電,3704合勤控,8404百和興業-KY,,
9,"('2395研華', 8)",9938百和,4576大銀微系統,1101台泥,2308台達電,9938百和,5347世界,4904遠傳,,,2330台積電,2704國賓,6180橘子,1565精華,9910豐泰,6279胡連,2355敬鵬,2913農林,,,
10,"('6464台數科', 8)",8917欣泰,6510精測,1532勤美,3035智原,1722台肥,2801彰銀,5347世界,,,5274信驊,6488環球晶,1605華新,3702大聯大,9937全國,3653健策,2356英業達,1305華夏,,,
