,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-03-10),近12月累積營收年增率連2個月增加(2022-03-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5347世界', 10)",2227裕日車,6464台數科,3680家登,1789神隆,2608嘉里大榮,2330台積電,2330台積電,1313聯成,1710東聯,8081致新,8081致新,3680家登,2014中鴻,3680家登,2897王道銀行,1110東泥,2408南亞科,2912統一超,,
1,"('6488環球晶', 10)",8081致新,8081致新,2608嘉里大榮,1234黑松,2227裕日車,2308台達電,6505台塑化,1532勤美,2103台橡,3019亞光,2603長榮,2014中鴻,2104國際中橡,1710東聯,4943康控-KY,1711永光,2344華邦電,6214精誠,,
2,"('2330台積電', 9)",4137麗豐-KY,1789神隆,2014中鴻,6196帆宣,6464台數科,2303聯電,2303聯電,1589永冠-KY,2618長榮航,3006晶豪科,3006晶豪科,6464台數科,2356英業達,2608嘉里大榮,8069元太,2308台達電,2313華通,4943康控-KY,,
3,"('3023信邦', 9)",6411晶焱,4137麗豐-KY,2851中再保,6411晶焱,8081致新,2881富邦金,2891中信金,2312金寶,6547高端疫苗,2353宏碁,2458義隆,1789神隆,3673TPK-KY,2014中鴻,4174浩鼎,2330台積電,9958世紀鋼,,,
4,"('2401凌陽', 9)",6277宏正,2520冠德,2227裕日車,2009第一銅,4137麗豐-KY,1216統一,2884玉山金,2867三商壽,4414如興,2376技嘉,8415大國鋼,2104國際中橡,2353宏碁,2851中再保,,2331精英,8436大江,,,
5,"('4105東洋', 9)",3030德律,6411晶焱,6464台數科,1711永光,2104國際中橡,2891中信金,6488環球晶,2897王道銀行,3016嘉晶,2850新產,8358金居,2547日勝生,3481群創,6464台數科,,2360致茂,2867三商壽,,,
6,"('8341日友', 9)",4551智伸科,6277宏正,8081致新,6643M31,2520冠德,2382廣達,2395研華,,2501國建,3131弘塑,6173信昌電,2356英業達,2850新產,8081致新,,2371大同,2897王道銀行,,,
7,"('5425台半', 9)",6643M31,3030德律,3019亞光,2395研華,3008大立光,6488環球晶,5347世界,,3707漢磊,2103台橡,8016矽創,4766南寶,5876上海商銀,3019亞光,,2404漢唐,2707晶華,,,
8,"('9941裕融', 9)",2850新產,4551智伸科,6505台塑化,9933中鼎,1234黑松,2912統一超,2801彰銀,,1903士紙,8358金居,2344華邦電,2603長榮,1326台化,6505台塑化,,2915潤泰全,4105東洋,,,
9,"('3035智原', 9)",2373震旦行,6643M31,1789神隆,8917欣泰,2603長榮,2395研華,4938和碩,,6533晶心科,8016矽創,6147頎邦,6411晶焱,2458義隆,1789神隆,,3049和鑫,6582申豐,,,
10,"('8069元太', 9)",3131弘塑,2373震旦行,4137麗豐-KY,2345智邦,6411晶焱,1101台泥,2887台新金,,1444力麗,2344華邦電,3034聯詠,6244茂迪,9940信義,4137麗豐-KY,,3105穩懋,3708上緯投控,,,
11,"('3665貿聯-KY', 9)",2395研華,3131弘塑,2104國際中橡,3443創意,6277宏正,5347世界,3037欣興,,2539櫻花建,3010華立,4966譜瑞-KY,3673TPK-KY,6173信昌電,2104國際中橡,,3533嘉澤,4927泰鼎-KY,,,
12,"('5287數字', 8)",9937全國,2395研華,2520冠德,4105東洋,2009第一銅,2357華碩,6669緯穎,,1314中石化,2375凱美,2408南亞科,3030德律,4105東洋,2520冠德,,3552同致,2031新光鋼,,,
13,"('5904寶雅', 8)",2458義隆,2458義隆,2356英業達,6488環球晶,3030德律,4938和碩,2888新光金,,6589台康生技,2351順德,2379瑞昱,3006晶豪科,6488環球晶,2547日勝生,,3596智易,3131弘塑,,,
