,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-06-10),近12月累積營收年增率連2個月增加(2022-06-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2330台積電', 10)",2347聯強,2108南帝,2347聯強,5269祥碩,2108南帝,2330台積電,2330台積電,1103嘉泥,6589台康生技,2201裕隆,2520冠德,,5269祥碩,2347聯強,2368金像電,1477聚陽,2923鼎固-KY,5820日盛金,,
1,"('5530龍巖', 10)",2108南帝,5269祥碩,2108南帝,3380明泰,5269祥碩,2317鴻海,2412中華電,2104國際中橡,2618長榮航,3035智原,2524京城,,2204中華,2108南帝,8069元太,1503士電,2404漢唐,8415大國鋼,,
2,"('8069元太', 10)",4958臻鼎-KY,4576大銀微系統,4958臻鼎-KY,4576大銀微系統,4576大銀微系統,2308台達電,2303聯電,2312金寶,2610華航,1560中砂,6472保瑞,,4506崇友,4958臻鼎-KY,1560中砂,2331精英,3005神基,3035智原,,
3,"('3035智原', 9)",5269祥碩,8464億豐,1310台苯,2634漢翔,6274台燿,2303聯電,3008大立光,2355敬鵬,3576聯合再生,9933中鼎,5530龍巖,,3682亞太電,1310台苯,3533嘉澤,2345智邦,2368金像電,,,
4,"('5274信驊', 9)",6274台燿,3227原相,5269祥碩,2540愛山林,3413京鼎,3008大立光,1216統一,2362藍天,4438廣越,9802鈺齊-KY,1560中砂,,2375凱美,5269祥碩,3443創意,2368金像電,4174浩鼎,,,
5,"('3443創意', 9)",8464億豐,3563牧德,3380明泰,1722台肥,8464億豐,3711日月光投控,2891中信金,2515中工,6177達麗,3037欣興,3189景碩,,6504南六,3380明泰,2886兆豐金,2439美律,8436大江,,,
6,"('3533嘉澤', 9)",3227原相,4506崇友,4576大銀微系統,2308台達電,2204中華,2912統一超,3711日月光投控,2524京城,,2449京元電子,2395研華,,2201裕隆,4576大銀微系統,3707漢磊,2454聯發科,4142國光生,,,
7,"('1560中砂', 9)",3596智易,6589台康生技,6274台燿,1476儒鴻,3563牧德,2892第一金,2892第一金,2547日勝生,,5274信驊,5534長虹,,2355敬鵬,6274台燿,,2891中信金,2373震旦行,,,
8,"('3023信邦', 8)",3563牧德,2540愛山林,1605華新,2227裕日車,4506崇友,2379瑞昱,2880華南金,2845遠東銀,,2330台積電,9941裕融,,8069元太,3413京鼎,,2915潤泰全,2608嘉里大榮,,,
9,"('2454聯發科', 8)",4506崇友,1598岱宇,8464億豐,2049上銀,9921巨大,5347世界,4904遠傳,2923鼎固-KY,,3707漢磊,4919新唐,,2313華通,1605華新,,3042晶技,2362藍天,,,
10,"('4904遠傳', 8)",9921巨大,5471松翰,2634漢翔,8069元太,2368金像電,2801彰銀,5347世界,3706神達,,6182合晶,6561是方,,2006東和鋼鐵,8464億豐,,3044健鼎,4536拓凱,,,
11,"('5269祥碩', 8)",5471松翰,6582申豐,3673TPK-KY,3532台勝科,5471松翰,5876上海商銀,2801彰銀,4157太景*-KY,,6223旺矽,3037欣興,,6285啟碁,2634漢翔,,3443創意,3708上緯投控,,,
12,"('6409旭隼', 8)",2404漢唐,4736泰博,3227原相,6472保瑞,2404漢唐,2633台灣高鐵,5876上海商銀,5530龍巖,,2454聯發科,6488環球晶,,6147頎邦,3673TPK-KY,,3533嘉澤,2367燿華,,,
13,"('6472保瑞', 8)",6582申豐,5871中租-KY,3596智易,2360致茂,6582申豐,9910豐泰,2887台新金,6005群益證,,,2337旺宏,,4904遠傳,3227原相,,3673TPK-KY,2421建準,,,
14,"('2449京元電子', 8)",1515力山,8422可寧衛,3563牧德,5425台半,4736泰博,2345智邦,3037欣興,6414樺漢,,,2303聯電,,5530龍巖,3704合勤控,,3708上緯投控,2851中再保,,,
15,"('6561是方', 8)",4736泰博,6576逸達,4506崇友,6285啟碁,5871中租-KY,3037欣興,2301光寶科,6462神盾,,,2344華邦電,,4306炎洲,2204中華,,4123晟德,9930中聯資源,,,
16,"('2520冠德', 8)",5871中租-KY,2308台達電,2540愛山林,4904遠傳,8422可寧衛,6669緯穎,6409旭隼,,,,2498宏達電,,2351順德,3596智易,,4174浩鼎,6541泰福-KY,,,
