,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-05-10),近12月累積營收年增率連2個月增加(2022-05-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5347世界', 10)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,1319東陽,3552同致,2454聯發科,2454聯發科,,3630新鉅科,2454聯發科,3443創意,1201味全,1301台塑,1101台泥,2303聯電,1402遠東新
1,"('5274信驊', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2454聯發科,2412中華電,1402遠東新,6166凌華,9933中鼎,8942森鉅,,3596智易,3630新鉅科,3035智原,1218泰山,4938和碩,5347世界,5347世界,
2,"('3533嘉澤', 10)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2308台達電,2303聯電,2104國際中橡,2545皇翔,3035智原,2614東森,,3443創意,8942森鉅,6582申豐,1227佳格,1402遠東新,2633台灣高鐵,8454富邦媒,
3,"('6223旺矽', 9)",8299群聯,9940信義,3443創意,9933中鼎,6533晶心科,2303聯電,3008大立光,2201裕隆,3680家登,6510精測,1560中砂,,3533嘉澤,1504東元,2353宏碁,1301台塑,5483中美晶,3105穩懋,2371大同,
4,"('8069元太', 9)",5289宜鼎,5287數字,6533晶心科,3035智原,9940信義,3008大立光,1216統一,2239英利-KY,1736喬山,2610華航,2610華航,,3045台灣大,3596智易,8069元太,1310台苯,2354鴻準,2344華邦電,5274信驊,
5,"('4904遠傳', 9)",3533嘉澤,3035智原,9940信義,2049上銀,2633台灣高鐵,1216統一,2891中信金,2324仁寶,2547日勝生,2015豐興,8046南電,,6213聯茂,3443創意,,1313聯成,2542興富發,9921巨大,6732昇佳電子,
6,"('6643M31', 9)",6239力成,6510精測,2633台灣高鐵,3533嘉澤,5287數字,3711日月光投控,3711日月光投控,2354鴻準,2605新興,8046南電,2303聯電,,2885元大金,6533晶心科,,1326台化,3533嘉澤,8464億豐,3515華擎,
7,"('3443創意', 9)",3045台灣大,5289宜鼎,5287數字,3045台灣大,8299群聯,2207和泰車,3045台灣大,2903遠百,5531鄉林,5388中磊,4128中天,,2303聯電,9940信義,,1504東元,2201裕隆,8454富邦媒,6743安普新,
8,"('5483中美晶', 9)",4551智伸科,3533嘉澤,9933中鼎,2607榮運,6510精測,2912統一超,4904遠傳,2923鼎固-KY,2511太子,6196帆宣,5269祥碩,,2317鴻海,2633台灣高鐵,,1560中砂,6531愛普,2337旺宏,4961天鈺,
9,"('2303聯電', 9)",6213聯茂,2614東森,3035智原,1560中砂,5289宜鼎,2379瑞昱,5347世界,3481群創,9943好樂迪,1605華新,2615萬海,,2388威盛,5287數字,,1707葡萄王,9958世紀鋼,6121新普,2393億光,
10,"('1476儒鴻', 8)",3014聯陽,1598岱宇,2845遠東銀,9958世紀鋼,3533嘉澤,5876上海商銀,2801彰銀,4938和碩,6547高端疫苗,5274信驊,3105穩懋,,1402遠東新,9933中鼎,,1714和桐,1598岱宇,1229聯華,6202盛群,
11,"('3680家登', 8)",9914美利達,4551智伸科,8299群聯,5243乙盛-KY,6239力成,2633台灣高鐵,2345智邦,5820日盛金,2331精英,3131弘塑,8482商億-KY,,8482商億-KY,3035智原,,1718中纖,8081致新,2313華通,,
12,"('4105東洋', 8)",1560中砂,3014聯陽,6510精測,3552同致,2481強茂,9910豐泰,1402遠東新,6120達運,6244茂迪,6182合晶,5483中美晶,,2441超豐,2049上銀,,1723中碳,2328廣宇,5820日盛金,,
