,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-12-31),連續三年EPS均大於0且近一季EPS也大於0(2022-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-12-31),近6月累積營收年增率連2個月增加(2023-04-10),近12月累積營收年增率連2個月增加(2023-04-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-12-31),ROE連續三季成長，且近一季ROE>10%(2022-12-31),毛利率連續三季成長，且近一季毛利率>25%(2022-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('3661世芯-KY', 8)",6669緯穎,6279胡連,6669緯穎,1711永光,2609陽明,2886兆豐金,2412中華電,2417圓剛,3545敦泰,1210大成,5289宜鼎,3019亞光,,,,,,,,
1,"('2707晶華', 7)",2609陽明,8422可寧衛,3019亞光,2345智邦,6279胡連,2884玉山金,3008大立光,2524京城,3576聯合再生,6643M31,6409旭隼,1711永光,,,,,,,,
2,"('3152璟德', 7)",6279胡連,4576大銀微系統,1711永光,4576大銀微系統,6548長科*,3034聯詠,2886兆豐金,2547日勝生,4123晟德,4904遠傳,8464億豐,2439美律,,,,,,,,
3,"('3293鈊象', 7)",6548長科*,6202盛群,2609陽明,1229聯華,2345智邦,2409友達,2207和泰車,2820華票,2605新興,3596智易,5531鄉林,2027大成鋼,,,,,,,,
4,"('3443創意', 7)",2345智邦,3035智原,2439美律,3035智原,2608嘉里大榮,2887台新金,2884玉山金,2849安泰銀,2923鼎固-KY,6751智聯服務,4958臻鼎-KY,2375凱美,,,,,,,,
5,"('6409旭隼', 7)",8422可寧衛,6277宏正,6279胡連,5274信驊,8422可寧衛,3481群創,2912統一超,2867三商壽,1808潤隆,6488環球晶,2330台積電,2031新光鋼,,,,,,,,
6,"('6472保瑞', 7)",6202盛群,5274信驊,6548長科*,2308台達電,5007三星,4743合一,2892第一金,4532瑞智,,5903全家,6670復盛應用,8422可寧衛,,,,,,,,
7,"('4904遠傳', 7)",6277宏正,8482商億-KY,2375凱美,3380明泰,4576大銀微系統,2354鴻準,5880合庫金,4943康控-KY,,3443創意,2540愛山林,5007三星,,,,,,,,
8,"('5903全家', 7)",5274信驊,2308台達電,2031新光鋼,3023信邦,1229聯華,2618長榮航,1101台泥,5469瀚宇博,,6414樺漢,2498宏達電,2421建準,,,,,,,,
9,"('3529力旺', 6)",8482商億-KY,2373震旦行,2345智邦,6409旭隼,3035智原,2371大同,2885元大金,,,,3005神基,6188廣明,,,,,,,,
