,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-10-10),近12月累積營收年增率連2個月增加(2022-10-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2395研華', 10)",4506崇友,4506崇友,4506崇友,3380明泰,4506崇友,2317鴻海,2317鴻海,1101台泥,6443元晶,1537廣隆,2607榮運,4506崇友,2360致茂,4506崇友,6669緯穎,1519華城,2330台積電,1503士電,,
1,"('8069元太', 9)",6146耕興,6146耕興,1308亞聚,1227佳格,2103台橡,2412中華電,2308台達電,1304台聚,8462柏文,9802鈺齊-KY,9925新保,1308亞聚,6443元晶,2103台橡,1477聚陽,2006東和鋼鐵,2207和泰車,1808潤隆,,
2,"('2308台達電', 9)",6669緯穎,2455全新,6146耕興,3680家登,1308亞聚,2308台達電,2303聯電,1305華夏,1519華城,9910豐泰,2395研華,6669緯穎,5871中租-KY,1308亞聚,4438廣越,2421建準,6415矽力-KY,2373震旦行,,
3,"('3529力旺', 9)",2455全新,2360致茂,1723中碳,2231為升,6146耕興,2303聯電,3008大立光,1314中石化,2367燿華,3035智原,2330台積電,1515力山,2605新興,6146耕興,2383台光電,4438廣越,2801彰銀,3218大學光,,
4,"('2330台積電', 9)",2313華通,3014聯陽,6669緯穎,2912統一超,2049上銀,3008大立光,1216統一,1326台化,2618長榮航,1476儒鴻,1419新紡,6177達麗,2912統一超,2049上銀,2014中鴻,5904寶雅,2049上銀,9908大台北,,
5,"('5904寶雅', 9)",2360致茂,2337旺宏,3049和鑫,3218大學光,1723中碳,1216統一,2891中信金,1402遠東新,2539櫻花建,2330台積電,2303聯電,2607榮運,2458義隆,1723中碳,2618長榮航,,2360致茂,1565精華,,
6,"('1216統一', 9)",3014聯陽,5871中租-KY,2455全新,8454富邦媒,3049和鑫,3711日月光投控,3711日月光投控,1434福懋,2388威盛,8404百和興業-KY,2498宏達電,6121新普,8454富邦媒,6669緯穎,3374精材,,2352佳世達,,,
7,"('1560中砂', 9)",6121新普,2923鼎固-KY,6177達麗,2308台達電,2455全新,2382廣達,2382廣達,1710東聯,6451訊芯-KY,5274信驊,8046南電,3380明泰,3231緯創,1515力山,8069元太,,2404漢唐,,,
8,"('2404漢唐', 8)",6269台郡,3680家登,2313華通,3059華晶科,6177達麗,6488環球晶,6488環球晶,1722台肥,6576逸達,9938百和,6472保瑞,6269台郡,1476儒鴻,3049和鑫,4919新唐,,2845遠東銀,,,
9,"('6561是方', 8)",5871中租-KY,5289宜鼎,1434福懋,3529力旺,2313華通,2912統一超,2912統一超,1907永豐餘,4743合一,6670復盛應用,5347世界,1589永冠-KY,2330台積電,2455全新,2882國泰金,,2889國票金,,,
